Order_ID,Product,Quantity,Price,City,Date
1,Cookies,3,162,Delhi,2025-06-13
2,Cold Coffee,2,81,Bangalore,2025-06-29
3,Samosa,3,83,Pune,2025-05-05
4,Cookies,4,141,Delhi,2025-01-07
5,Green Tea,1,144,Pune,2025-01-29
6,Samosa,1,121,Mumbai,2025-05-19
7,Samosa,4,88,Mumbai,2025-02-02
8,Cookies,1,167,Mumbai,2025-05-14
9,Ginger Tea,4,52,Bangalore,2025-04-21
10,Green Tea,4,172,Delhi,2025-03-20
11,Cookies,4,99,Mumbai,2025-06-09
12,Green Tea,1,61,Mumbai,2025-06-28
13,Green Tea,3,103,Delhi,2025-02-27
14,Samosa,4,182,Mumbai,2025-01-26
15,Cold Coffee,2,106,Pune,2025-06-23
16,Green Tea,1,194,Delhi,2025-01-29
17,Sandwich,4,161,Delhi,2025-01-04
18,Samosa,4,96,Delhi,2025-04-09
19,Ginger Tea,2,134,Pune,2025-05-21
20,Cold Coffee,3,191,Delhi,2025-02-08
21,Sandwich,3,115,Pune,2025-01-15
22,Sandwich,3,124,Delhi,2025-04-29
23,Ginger Tea,4,152,Bangalore,2025-01-29
24,Cold Coffee,4,87,Mumbai,2025-06-06
25,Samosa,4,99,Bangalore,2025-03-16
26,Masala Chai,1,147,Mumbai,2025-04-26
27,Cold Coffee,2,131,Pune,2025-02-01
28,Ginger Tea,4,79,Bangalore,2025-05-10
29,Sandwich,2,128,Delhi,2025-06-24
30,Samosa,2,140,Mumbai,2025-03-25
31,Cold Coffee,3,101,Mumbai,2025-01-22
32,Masala Chai,1,128,Bangalore,2025-01-27
33,Masala Chai,4,79,Pune,2025-03-22
34,Green Tea,3,155,Bangalore,2025-05-06
35,Green Tea,3,100,Pune,2025-04-02
36,Cookies,4,130,Pune,2025-01-21
37,Ginger Tea,2,182,Mumbai,2025-02-16
38,Cold Coffee,3,78,Bangalore,2025-04-11
39,Cold Coffee,2,181,Bangalore,2025-03-25
40,Cookies,1,187,Pune,2025-01-06
41,Sandwich,2,194,Bangalore,2025-05-27
42,Sandwich,1,123,Delhi,2025-05-11
43,Cookies,2,66,Delhi,2025-01-01
44,Sandwich,3,133,Bangalore,2025-02-27
45,Green Tea,3,118,Bangalore,2025-05-04
46,Cold Coffee,1,83,Pune,2025-06-15
47,Cookies,4,55,Delhi,2025-01-15
48,Cold Coffee,1,102,Delhi,2025-06-11
49,Masala Chai,1,175,Mumbai,2025-06-12
50,Green Tea,2,92,Pune,2025-03-05
51,Samosa,2,164,Mumbai,2025-01-25
52,Green Tea,1,160,Delhi,2025-01-24
53,Cookies,3,129,Pune,2025-01-12
54,Samosa,2,144,Bangalore,2025-01-18
55,Masala Chai,4,167,Pune,2025-01-15
56,Cookies,2,193,Bangalore,2025-01-27
57,Ginger Tea,2,57,Bangalore,2025-03-13
58,Cold Coffee,4,181,Pune,2025-03-01
59,Masala Chai,1,153,Bangalore,2025-06-23
60,Cold Coffee,4,181,Mumbai,2025-05-25
61,Sandwich,1,74,Delhi,2025-04-03
62,Ginger Tea,1,145,Bangalore,2025-02-22
63,Ginger Tea,1,142,Mumbai,2025-01-08
64,Masala Chai,4,110,Bangalore,2025-03-20
65,Ginger Tea,1,171,Delhi,2025-01-27
66,Samosa,3,100,Mumbai,2025-06-23
67,Ginger Tea,4,196,Delhi,2025-02-19
68,Cold Coffee,3,70,Delhi,2025-05-11
69,Cold Coffee,1,54,Mumbai,2025-04-03
70,Cookies,2,141,Mumbai,2025-06-21
71,Cold Coffee,1,110,Mumbai,2025-01-24
72,Cookies,3,71,Pune,2025-03-01
73,Cold Coffee,3,198,Mumbai,2025-05-02
74,Samosa,4,119,Mumbai,2025-05-11
75,Cookies,2,50,Mumbai,2025-05-28
76,Green Tea,4,182,Mumbai,2025-02-15
77,Sandwich,3,61,Bangalore,2025-01-15
78,Masala Chai,1,139,Pune,2025-06-02
79,Cold Coffee,2,95,Delhi,2025-01-17
80,Ginger Tea,1,83,Mumbai,2025-05-06
81,Cold Coffee,1,127,Bangalore,2025-03-25
82,Ginger Tea,2,94,Bangalore,2025-01-09
83,Sandwich,4,122,Bangalore,2025-06-15
84,Sandwich,1,75,Delhi,2025-06-25
85,Sandwich,3,96,Mumbai,2025-03-04
86,Ginger Tea,1,170,Pune,2025-04-27
87,Cold Coffee,2,105,Pune,2025-05-10
88,Sandwich,2,143,Bangalore,2025-03-29
89,Samosa,2,156,Delhi,2025-03-13
90,Cookies,4,112,Delhi,2025-05-19
91,Ginger Tea,1,97,Delhi,2025-03-05
92,Ginger Tea,4,110,Pune,2025-03-13
93,Cold Coffee,4,130,Bangalore,2025-01-21
94,Ginger Tea,2,75,Mumbai,2025-01-18
95,Ginger Tea,2,85,Pune,2025-03-05
96,Sandwich,4,50,Bangalore,2025-03-23
97,Cold Coffee,1,57,Bangalore,2025-04-20
98,Sandwich,3,162,Mumbai,2025-04-05
99,Cookies,4,148,Mumbai,2025-06-15
100,Cookies,1,96,Mumbai,2025-02-01
101,Sandwich,2,176,Delhi,2025-01-11
102,Cookies,2,105,Mumbai,2025-02-14
103,Cold Coffee,1,63,Bangalore,2025-02-02
104,Masala Chai,3,77,Mumbai,2025-04-12
105,Sandwich,2,127,Bangalore,2025-06-18
106,Samosa,2,179,Pune,2025-05-16
107,Samosa,2,158,Delhi,2025-01-11
108,Ginger Tea,1,63,Pune,2025-06-28
109,Cookies,4,105,Pune,2025-03-29
110,Samosa,2,164,Bangalore,2025-02-10
111,Ginger Tea,4,56,Pune,2025-05-25
112,Masala Chai,3,52,Bangalore,2025-03-17
113,Cold Coffee,2,160,Mumbai,2025-05-01
114,Cold Coffee,2,156,Mumbai,2025-02-15
115,Cold Coffee,3,67,Bangalore,2025-06-09
116,Samosa,2,87,Mumbai,2025-03-21
117,Masala Chai,4,164,Delhi,2025-02-23
118,Samosa,1,64,Pune,2025-03-27
119,Cookies,4,168,Delhi,2025-04-02
120,Samosa,1,77,Pune,2025-05-28
121,Masala Chai,1,88,Mumbai,2025-06-10
122,Masala Chai,4,66,Delhi,2025-06-17
123,Cookies,4,135,Mumbai,2025-06-09
124,Masala Chai,4,175,Pune,2025-04-07
125,Masala Chai,4,93,Bangalore,2025-01-02
126,Cold Coffee,3,74,Bangalore,2025-02-02
127,Cookies,2,194,Delhi,2025-06-07
128,Green Tea,1,62,Mumbai,2025-06-10
129,Green Tea,4,74,Mumbai,2025-03-18
130,Masala Chai,4,117,Delhi,2025-04-26
131,Green Tea,4,187,Bangalore,2025-06-03
132,Green Tea,3,116,Pune,2025-05-30
133,Masala Chai,4,158,Delhi,2025-04-13
134,Green Tea,4,195,Pune,2025-06-15
135,Samosa,4,160,Bangalore,2025-04-13
136,Ginger Tea,2,160,Mumbai,2025-03-31
137,Cookies,3,83,Bangalore,2025-06-23
138,Ginger Tea,4,160,Delhi,2025-05-02
139,Masala Chai,1,57,Mumbai,2025-05-23
140,Cold Coffee,1,162,Delhi,2025-04-16
141,Cookies,1,132,Delhi,2025-04-29
142,Masala Chai,3,91,Bangalore,2025-06-21
143,Cold Coffee,3,150,Delhi,2025-02-18
144,Ginger Tea,1,55,Bangalore,2025-04-14
145,Masala Chai,4,75,Mumbai,2025-03-02
146,Cookies,3,113,Bangalore,2025-05-03
147,Cookies,1,108,Mumbai,2025-05-14
148,Sandwich,1,158,Bangalore,2025-01-09
149,Samosa,4,170,Pune,2025-01-06
150,Green Tea,2,82,Pune,2025-03-14
151,Cold Coffee,3,199,Delhi,2025-04-13
152,Sandwich,4,70,Bangalore,2025-06-09
153,Green Tea,1,119,Bangalore,2025-02-10
154,Green Tea,1,161,Mumbai,2025-04-24
155,Masala Chai,4,53,Delhi,2025-01-08
156,Green Tea,3,143,Bangalore,2025-03-13
157,Samosa,2,124,Delhi,2025-06-27
158,Cookies,2,111,Pune,2025-04-02
159,Sandwich,1,143,Bangalore,2025-03-03
160,Green Tea,3,144,Bangalore,2025-03-25
161,Masala Chai,2,104,Delhi,2025-03-03
162,Samosa,3,186,Bangalore,2025-04-21
163,Ginger Tea,3,180,Delhi,2025-05-07
164,Cookies,1,80,Bangalore,2025-01-07
165,Cookies,2,89,Mumbai,2025-03-25
166,Sandwich,4,85,Delhi,2025-05-12
167,Cookies,1,55,Bangalore,2025-05-14
168,Green Tea,2,115,Pune,2025-02-27
169,Masala Chai,2,124,Bangalore,2025-01-22
170,Cookies,2,53,Pune,2025-06-03
171,Cookies,2,128,Pune,2025-05-07
172,Ginger Tea,2,183,Mumbai,2025-01-03
173,Ginger Tea,3,167,Delhi,2025-05-07
